Name, a (au), e, i (deg), O (deg), w (deg), d0 (au), k (Re/yr), phi0 (deg), epsilon (au), eta, MEI
(433) Eros, 1.458, 0.223, 10.828, 304.273, 178.914, 0.148913, 0.0230, 359.7, 0.000365, 0.0025, 7.1
(719) Albert, 2.636, 0.547, 11.575, 183.858, 156.212, 0.200248, -0.0048, --, 0.019036, 0.0971, 7.6
(887) Alinda, 2.474, 0.571, 9.401, 110.413, 350.488, 0.037281, 16.2101, 349.3, 0.042397, 0.3419, 6.8
(1036) Ganymed, 2.666, 0.533, 26.686, 215.495, 132.503, 0.338733, 2.8430, 31.7, 0.009589, 0.0274, 8.6
(1221) Amor, 1.920, 0.435, 11.868, 171.246, 26.736, 0.107819, 0.3568, 26.6, 0.002117, 0.0194, 7.4
(1566) Icarus, 1.078, 0.827, 22.804, 87.954, 31.433, 0.033925, -1.3000, 77.1, 0.000158, 0.0056, 4.5
(1580) Betulia, 2.195, 0.488, 52.188, 62.227, 159.731, 0.135131, 2.9272, 8.4, 0.003471, 0.0236, 7.6
(1620) Geographos, 1.246, 0.336, 13.336, 337.149, 277.005, 0.029838, -0.6546, 304.6, 0.000386, 0.0143, 4.4
(1627) Ivar, 1.863, 0.397, 8.455, 133.075, 167.842, 0.111483, -0.1685, 11.7, 0.001204, 0.0109, 7.3
(1685) Toro, 1.368, 0.436, 9.382, 274.209, 127.276, 0.050825, 0.6752, 243.4, 0.000311, 0.0058, 6.4
(1862) Apollo, 1.471, 0.560, 6.352, 35.557, 286.029, 0.026059, 0.6279, 102.3, 0.000328, 0.0114, 5.4
(1863) Antinous, 2.261, 0.606, 18.350, 345.869, 268.705, 0.187104, -2.6769, 295.3, 0.004861, 0.0274, 7.6
(1864) Daedalus, 1.461, 0.614, 22.213, 6.608, 325.663, 0.269513, 1.5547, 278.3, 0.000306, 0.0011, 8.5
(1865) Cerberus, 1.080, 0.467, 16.101, 212.887, 325.293, 0.156613, 0.5438, 286.4, 0.000162, 0.0010, 7.3
(1866) Sisyphus, 1.894, 0.538, 41.208, 63.454, 293.119, 0.103812, 0.8801, 326.4, 0.000780, 0.0072, 7.4
(1915) Quetzalcoatl, 2.545, 0.570, 20.400, 162.933, 347.759, 0.117320, -21.0383, 351.0, 0.044628, 0.6260, 0.8
(1916) Boreas, 2.273, 0.449, 12.877, 340.601, 335.857, 0.254746, -0.3173, 342.4, 0.005500, 0.0217, 8.4
(1917) Cuyo, 2.149, 0.506, 23.961, 188.275, 194.561, 0.073376, -0.2791, 350.7, 0.003019, 0.0418, 6.4
(1943) Anteros, 1.430, 0.256, 8.709, 246.295, 338.448, 0.062296, -0.1437, 343.1, 0.000393, 0.0064, 6.2
(1980) Tezcatlipoca, 1.710, 0.365, 26.870, 246.544, 115.501, 0.245095, -0.2116, 34.6, 0.000488, 0.0020, 8.3
(1981) Midas, 1.776, 0.650, 39.822, 356.796, 267.846, 0.003458, 0.7872, 314.6, 0.000807, 0.1116, 2.4
(2059) Baboquivari, 2.642, 0.532, 11.023, 200.688, 192.451, 0.255247, -1.4250, 353.0, 0.018527, 0.0753, 8.6
(2061) Anza, 2.265, 0.536, 3.801, 207.359, 157.088, 0.057055, -0.1657, 26.2, 0.006198, 0.1090, 6.5
(2062) Aten, 0.967, 0.183, 18.935, 108.530, 148.060, 0.114046, 0.0670, 26.2, 0.000840, 0.0073, 7.2
(2063) Bacchus, 1.078, 0.349, 9.435, 33.039, 55.341, 0.066879, -0.5758, 70.4, 0.000352, 0.0054, 6.3
(2100) Ra-Shalom, 0.832, 0.437, 15.755, 170.777, 356.073, 0.150014, 0.3888, 298.2, 0.000125, 0.0008, 7.3
(2101) Adonis, 1.874, 0.764, 1.320, 349.422, 43.699, 0.011514, -0.7782, 89.4, 0.000293, 0.0358, 2.4
(2102) Tantalus, 1.290, 0.299, 64.006, 94.352, 61.514, 0.042876, -0.8907, 14.8, 0.000202, 0.0052, 5.4
(2135) Aristaeus, 1.600, 0.503, 23.072, 191.112, 290.977, 0.009570, -0.8483, 315.7, 0.000548, 0.0925, 1.4
(2201) Oljato, 2.179, 0.711, 2.522, 74.866, 98.373, 0.003034, 1.0714, 266.0, 0.001158, 0.1520, 1.4
(2202) Pele, 2.291, 0.513, 8.742, 169.904, 217.997, 0.146085, 0.3328, 330.7, 0.004718, 0.0319, 7.5
(2212) Hephaistos, 2.167, 0.836, 11.269, 26.871, 210.191, 0.115101, -7.8631, 271.5, 0.005154, 0.0628, 6.7
(2329) Orthos, 2.410, 0.653, 24.462, 169.282, 146.053, 0.099749, -0.5802, --, 0.010622, 0.1107, 6.6
(2340) Hathor, 0.844, 0.450, 5.861, 211.289, 40.106, 0.006662, -0.4578, 78.3, 0.000157, 0.0332, 1.3
(2368) Beltrovata, 2.105, 0.413, 5.224, 287.294, 43.069, 0.235021, -0.3324, 17.3, 0.003986, 0.0170, 8.4
(2608) Seneca, 2.532, 0.565, 14.426, 166.468, 38.641, 0.217036, -17.6406, --, 0.063115, 0.5104, 6.8
(3102) Krok, 2.151, 0.449, 8.443, 172.052, 154.765, 0.185534, -0.2365, 18.8, 0.003274, 0.0177, 7.4
(3103) Eger, 1.404, 0.354, 20.930, 129.734, 254.120, 0.078914, 0.7675, 319.3, 0.000593, 0.0072, 6.4
(3122) Florence, 1.769, 0.423, 22.139, 336.046, 27.909, 0.044287, -0.2161, 18.6, 0.001082, 0.0249, 5.3
(3199) Nefertiti, 1.574, 0.284, 32.961, 339.979, 53.437, 0.215606, -0.1893, 20.4, 0.000415, 0.0019, 8.2
(3200) Phaethon, 1.271, 0.890, 22.313, 265.094, 322.307, 0.019008, -2.2672, 102.5, 0.000362, 0.0383, 0.5
(3271) Ul, 2.102, 0.396, 25.068, 158.811, 159.077, 0.276881, 0.6280, 13.5, 0.003681, 0.0132, 8.4
(3288) Seleucus, 2.035, 0.455, 5.927, 218.603, 349.351, 0.107081, 0.0343, 353.4, 0.010061, 0.0948, 6.5
(3352) McAuliffe, 1.879, 0.369, 4.771, 107.328, 16.073, 0.202632, 0.1389, 7.4, 0.001359, 0.0067, 8.3
(3360) Syrinx, 2.468, 0.746, 21.140, 242.456, 63.559, 0.123664, -8.0226, --, 0.016463, 0.1877, 6.7
(3361) Orpheus, 1.210, 0.323, 2.662, 188.676, 302.346, 0.014547, 0.2791, 100.1, 0.000416, 0.0269, 4.3
(3362) Khufu, 0.990, 0.469, 9.916, 152.404, 55.088, 0.013233, -0.4543, 73.1, 0.000317, 0.0283, 3.3
(3551) Verenia, 2.093, 0.487, 9.508, 173.782, 193.302, 0.069512, 0.4703, 348.0, 0.005909, 0.0823, 6.5
(3552) Don Quixote, 4.268, 0.707, 31.059, 349.964, 316.524, 0.392582, 7.5833, 329.0, 0.061873, 0.1534, 8.8
(3553) Mera, 1.645, 0.320, 36.775, 232.490, 288.877, 0.294608, 0.3139, 332.4, 0.000520, 0.0018, 8.3
(3554) Amun, 0.974, 0.281, 23.356, 358.601, 359.418, 0.251108, 0.0865, 352.4, 0.000977, 0.0039, 8.2
(3671) Dionysus, 2.200, 0.542, 13.540, 82.048, 204.335, 0.018180, 0.4610, --, 0.003801, 0.1909, 4.4
(3691) Bede, 1.774, 0.284, 20.348, 348.694, 235.081, 0.352321, -0.1247, 329.8, 0.000984, 0.0028, 8.2
(3752) Camillo, 1.414, 0.302, 55.560, 147.955, 312.220, 0.078523, 0.8246, 347.0, 0.000319, 0.0039, 6.4
(3753) Cruithne, 0.998, 0.515, 19.802, 126.190, 43.882, 0.071046, -0.5977, 64.4, 0.000426, 0.0062, 6.4
(3757) Anagolay, 1.835, 0.446, 3.866, 74.927, 17.236, 0.036763, 0.2358, 22.2, 0.001306, 0.0345, 5.3
(3838) Epona, 1.505, 0.703, 29.199, 235.462, 49.722, 0.159187, -2.8721, 70.6, 0.000567, 0.0039, 7.6
(3908) Nyx, 1.928, 0.459, 2.186, 261.192, 126.661, 0.056708, -0.0498, 34.4, 0.001378, 0.0245, 6.3
(3988) Huma, 1.544, 0.317, 10.768, 229.791, 86.912, 0.177837, 0.4875, 59.9, 0.000300, 0.0017, 7.3
(4015) Wilson-Harrington, 2.626, 0.631, 2.799, 266.723, 95.528, 0.047282, -1.3035, --, 0.008486, 0.2277, 5.5
(4034) Vishnu, 1.060, 0.444, 11.169, 157.890, 296.701, 0.019286, 0.5479, 290.9, 0.000277, 0.0127, 4.3
(4055) Magellan, 1.820, 0.326, 23.252, 164.814, 154.381, 0.239332, 0.0324, 15.6, 0.000728, 0.0030, 8.2
(4179) Toutatis, 2.543, 0.625, 0.448, 125.365, 277.874, 0.007871, -0.5766, 271.0, 0.001356, 0.2720, 1.3
(4183) Cuno, 1.981, 0.636, 6.670, 294.352, 237.021, 0.029287, -2.1983, 104.4, 0.001926, 0.0974, 3.5
(4197) Morpheus, 2.295, 0.772, 12.603, 7.005, 122.555, 0.099050, 9.1751, 82.2, 0.005415, 0.0392, 6.7
(4257) Ubasti, 1.647, 0.468, 40.719, 169.148, 278.943, 0.169920, 0.0439, 324.2, 0.000480, 0.0028, 7.1
(4341) Poseidon, 1.834, 0.680, 11.839, 108.024, 15.827, 0.193736, -0.9291, 252.5, 0.000800, 0.0042, 7.4
(4401) Aditi, 2.584, 0.563, 26.624, 22.778, 68.154, 0.325787, 0.7933, 43.5, 0.012272, 0.0375, 8.6
(4450) Pan, 1.443, 0.587, 5.523, 311.680, 291.971, 0.028868, 0.6846, 276.7, 0.000210, 0.0066, 5.4
(4486) Mithra, 2.206, 0.662, 3.040, 82.186, 169.162, 0.046010, 0.1870, 264.4, 0.000531, 0.0114, 5.2
(4487) Pocahontas, 1.730, 0.297, 16.407, 198.100, 173.984, 0.219059, -0.0152, 5.6, 0.000643, 0.0029, 8.1
(4503) Cleobulus, 2.703, 0.525, 2.513, 45.944, 76.253, 0.267283, 9.1545, 10.4, 0.038115, 0.1248, 8.8
(4544) Xanthus, 1.042, 0.250, 14.143, 23.943, 333.842, 0.173338, 0.3709, 144.7, 0.000193, 0.0011, 7.3
(4581) Asclepius, 1.023, 0.357, 4.918, 180.200, 255.381, 0.003512, 0.3935, 103.4, 0.000663, 0.1204, 2.3
(4596) 1981 QB, 2.239, 0.520, 37.071, 154.187, 248.428, 0.297213, -1.0864, 323.6, 0.002090, 0.0071, 8.5
(4660) Nereus, 1.485, 0.359, 1.454, 313.110, 159.543, 0.003763, 0.2958, 258.4, 0.000492, 0.0923, 2.3
(4688) 1980 WF, 2.233, 0.518, 6.376, 241.228, 213.807, 0.111960, 0.6927, 331.9, 0.005233, 0.0458, 7.5
(4769) Castalia, 1.063, 0.483, 8.885, 325.508, 121.439, 0.020505, 0.4982, 75.2, 0.000176, 0.0078, 4.3
(4947) Ninkasi, 1.370, 0.168, 15.652, 215.426, 192.936, 0.149555, -0.0322, 356.3, 0.000491, 0.0033, 7.1
(4953) 1990 MU, 1.621, 0.657, 24.378, 77.532, 77.924, 0.025367, -2.5494, 61.4, 0.000815, 0.0567, 2.6
(4954) Eric, 2.002, 0.450, 17.427, 358.402, 52.623, 0.194709, 0.5670, 36.1, 0.002207, 0.0112, 7.4
(4957) Brucemurray, 1.565, 0.219, 35.013, 254.880, 97.475, 0.425015, -0.0856, 27.2, 0.000419, 0.0010, 9.1
(5011) Ptah, 1.636, 0.500, 7.409, 10.629, 105.947, 0.024607, -0.8661, 71.5, 0.000442, 0.0212, 4.4
(5131) 1990 BG, 1.486, 0.569, 36.445, 110.336, 135.874, 0.274513, -0.2993, 204.7, 0.000497, 0.0018, 8.3
(5143) Heracles, 1.835, 0.771, 8.978, 309.094, 228.215, 0.058244, -3.3824, 275.1, 0.001491, 0.0348, 5.6
(5189) 1990 UQ, 1.552, 0.478, 3.579, 135.052, 159.948, 0.044721, 0.3063, 260.9, 0.000144, 0.0031, 5.3
(5324) Lyapunov, 2.982, 0.605, 19.621, 352.138, 321.135, 0.208803, -1.4842, --, 0.029346, 0.1429, 7.7
(5332) Davidaguilar, 2.163, 0.456, 25.524, 142.764, 306.072, 0.306477, 0.4167, 327.5, 0.002834, 0.0092, 8.4
(5370) Taranis, 3.319, 0.637, 19.167, 177.786, 161.306, 0.129153, 2.3432, 16.6, 0.083765, 0.5322, 6.8
(5381) Sekhmet, 0.947, 0.296, 48.967, 58.530, 37.425, 0.112588, 0.2001, 19.5, 0.000168, 0.0015, 7.2
(5496) 1973 NA, 2.435, 0.635, 68.005, 101.032, 117.975, 0.093987, 5.5971, 26.3, 0.004555, 0.0383, 6.7
(5587) 1990 SB, 2.400, 0.544, 18.061, 189.773, 87.055, 0.311699, -1.6320, 62.7, 0.009362, 0.0308, 8.6
(5590) 1990 VA, 0.986, 0.280, 14.180, 216.254, 34.476, 0.122099, -1.0606, 57.7, 0.003046, 0.0259, 7.4
(5604) 1992 FE, 0.929, 0.406, 4.715, 311.888, 82.685, 0.033414, 0.2884, 258.0, 0.000296, 0.0085, 5.2
(5620) Jasonwheeler, 2.159, 0.423, 7.873, 128.644, 153.750, 0.238095, -0.2517, 15.0, 0.003569, 0.0150, 8.4
(5626) Melissabrucker, 2.195, 0.455, 3.849, 173.091, 231.876, 0.213959, 0.2000, 343.8, 0.003136, 0.0146, 8.4
(5645) 1990 SP, 1.355, 0.387, 13.505, 45.708, 48.275, 0.053884, -0.5845, 225.9, 0.000318, 0.0062, 5.4
(5646) 1990 TR, 2.144, 0.436, 7.906, 14.102, 335.776, 0.209301, -0.2100, 343.8, 0.003156, 0.0151, 8.4
(5653) Camarillo, 1.794, 0.304, 6.874, 9.887, 122.627, 0.282101, 0.1202, 23.6, 0.001653, 0.0058, 8.3
(5660) 1974 MA, 1.785, 0.762, 38.142, 302.119, 127.039, 0.161537, 5.1438, 66.7, 0.001469, 0.0080, 7.7
(5693) 1993 EA, 1.271, 0.585, 5.059, 96.978, 258.983, 0.005728, 0.5302, 97.9, 0.000201, 0.0251, 2.3
(5731) Zeus, 2.266, 0.652, 11.201, 280.591, 218.428, 0.059475, -2.2695, --, 0.007747, 0.1485, 5.6
(5751) Zao, 2.101, 0.425, 16.073, 121.633, 25.458, 0.241995, 0.7788, 18.4, 0.006825, 0.0278, 8.5
(5786) Talos, 1.082, 0.827, 23.220, 161.281, 8.387, 0.188703, -0.7130, 86.8, 0.000122, 0.0007, 7.4
(5797) Bivoj, 1.894, 0.444, 4.190, 298.913, 168.643, 0.070256, 0.0558, 9.7, 0.001644, 0.0233, 6.3
(5828) 1991 AM, 1.698, 0.695, 30.125, 125.407, 152.782, 0.493066, -31.4894, --, 0.673938, 1.5922, 8.6
(5836) 1993 MF, 2.441, 0.537, 7.943, 238.710, 78.092, 0.175076, 1.2275, --, 0.014764, 0.0811, 7.6
(5863) Tara, 2.222, 0.507, 19.493, 168.731, 115.640, 0.233146, -0.9684, 46.1, 0.002993, 0.0130, 8.5
(5869) Tanith, 1.812, 0.321, 17.926, 227.845, 230.865, 0.310320, 0.2705, 331.7, 0.000836, 0.0027, 8.3
(5879) Almeria, 1.625, 0.289, 21.574, 145.822, 355.768, 0.167805, 0.0621, 358.9, 0.000589, 0.0035, 7.2
(6037) 1988 EG, 1.272, 0.500, 3.513, 182.175, 242.327, 0.024176, -0.2706, 274.9, 0.000199, 0.0087, 4.2
(6047) 1991 TB1, 1.454, 0.352, 23.475, 6.067, 103.817, 0.140195, -0.5180, 38.6, 0.000428, 0.0031, 7.3
(6050) Miwablock, 2.202, 0.437, 6.405, 88.155, 285.039, 0.269792, -0.0618, 330.1, 0.002719, 0.0101, 8.3
(6053) 1993 BW3, 2.147, 0.529, 21.581, 318.227, 74.939, 0.221229, 1.6351, 49.9, 0.002184, 0.0095, 8.5
(6063) Jason, 2.220, 0.762, 4.959, 169.026, 337.612, 0.076381, 2.7070, 268.3, 0.002052, 0.0233, 6.6
(6178) 1986 DA, 2.814, 0.585, 4.314, 64.493, 127.470, 0.201046, -1.4561, 21.2, 0.024279, 0.1243, 7.6
(6239) Minos, 1.151, 0.413, 3.940, 344.518, 239.787, 0.025404, -0.3419, 276.7, 0.000849, 0.0349, 4.3
(6455) 1992 HE, 2.240, 0.573, 37.340, 26.892, 262.748, 0.289197, 0.8703, 313.8, 0.002069, 0.0071, 8.4
(6456) Golombek, 2.193, 0.409, 8.222, 313.569, 347.104, 0.283803, -0.2803, 352.8, 0.003193, 0.0113, 8.4
(6489) Golevka, 2.483, 0.616, 2.264, 209.335, 68.750, 0.006827, 5.9141, --, 0.021565, 0.4522, 4.7
(6491) 1991 OA, 2.507, 0.592, 6.034, 300.664, 325.153, 0.024878, -10.1037, --, 0.042953, 0.9460, 0.7
(6569) Ondaatje, 1.626, 0.221, 22.640, 111.456, 167.296, 0.254799, -0.0455, 5.9, 0.000476, 0.0019, 8.1
(6611) 1993 VW, 1.696, 0.485, 8.702, 230.764, 281.596, 0.060346, -1.0155, 291.4, 0.000638, 0.0114, 6.4
(7025) 1993 QA, 1.476, 0.315, 12.609, 146.592, 323.456, 0.062846, -0.2897, 331.3, 0.000394, 0.0064, 6.3
(7088) Ishtar, 1.981, 0.390, 8.299, 102.610, 354.789, 0.225286, 0.0701, 356.8, 0.002448, 0.0108, 8.4
(7092) Cadmus, 2.545, 0.694, 17.789, 56.718, 94.768, 0.117268, -10.4719, --, 0.025386, 0.3602, 5.7
(7236) 1987 PA, 2.726, 0.560, 16.400, 308.120, 338.353, 0.181968, -5.2543, --, 0.029062, 0.1800, 7.7
(7335) 1989 JA, 1.772, 0.485, 15.174, 61.279, 232.269, 0.023216, 0.4469, 311.5, 0.001271, 0.0512, 4.4
(7336) Saunders, 2.306, 0.482, 7.197, 174.454, 181.567, 0.191737, 0.0316, --, 0.005456, 0.0284, 7.4
(7341) 1991 VK, 1.842, 0.506, 5.409, 294.727, 173.490, 0.047792, 0.4264, 243.9, 0.000900, 0.0182, 5.3
(7350) 1993 VA, 1.356, 0.391, 7.263, 133.045, 336.704, 0.080677, 0.3590, 115.3, 0.000199, 0.0024, 6.3
(7358) Oze, 2.199, 0.502, 4.662, 265.419, 92.319, 0.123676, -0.0545, 45.7, 0.002458, 0.0199, 7.3
(7474) 1992 TC, 1.566, 0.292, 7.088, 88.603, 275.650, 0.167465, -0.0811, 305.6, 0.000391, 0.0023, 7.1
(7480) Norwan, 1.568, 0.317, 9.454, 124.360, 256.873, 0.161468, 0.4076, 307.5, 0.000363, 0.0022, 7.3
(7482) 1994 PC1, 1.349, 0.329, 33.468, 117.853, 47.487, 0.000442, 0.0423, 200.1, 0.000272, 0.4473, 0.1
(7753) 1988 XB, 1.467, 0.482, 3.125, 73.388, 280.076, 0.006818, -0.3582, 277.1, 0.000336, 0.0658, 2.3
(7822) 1991 CS, 1.123, 0.165, 37.122, 156.841, 249.458, 0.022373, -0.0045, 347.2, 0.000216, 0.0097, 4.0
(7839) 1994 ND, 2.165, 0.519, 27.115, 102.505, 228.315, 0.137121, -0.3352, 328.5, 0.002754, 0.0202, 7.4
(7888) 1993 UC, 2.438, 0.663, 26.074, 165.892, 323.011, 0.075700, -3.1854, --, 0.020274, 0.3319, 5.7
(7889) 1994 LX, 1.262, 0.346, 36.908, 111.261, 349.181, 0.154522, -0.0563, 175.8, 0.000221, 0.0014, 7.1
(7977) 1977 QQ5, 2.226, 0.466, 25.167, 134.128, 248.110, 0.356567, 0.4901, 319.3, 0.002130, 0.0059, 8.4
(8013) Gordonmoore, 2.202, 0.432, 7.593, 105.346, 147.261, 0.246267, -0.3302, 17.2, 0.004316, 0.0176, 8.4
(8014) 1990 MF, 1.747, 0.456, 1.868, 209.843, 114.727, 0.016970, -0.3232, 83.1, 0.000315, 0.0203, 4.3
(8034) Akka, 1.830, 0.409, 2.025, 232.821, 68.195, 0.073735, -0.0254, 28.1, 0.001112, 0.0151, 6.2
(8035) 1992 TB, 1.342, 0.462, 28.304, 185.614, 6.117, 0.272744, -0.1024, 187.6, 0.000379, 0.0014, 8.1
(8037) 1993 HO1, 1.987, 0.417, 5.907, 22.378, 105.731, 0.202098, -0.0471, 33.6, 0.002899, 0.0144, 7.4
(8176) 1991 WA, 1.575, 0.643, 39.594, 66.505, 241.882, 0.192529, -2.2861, 301.3, 0.000743, 0.0041, 7.5
(8201) 1994 AH2, 2.539, 0.706, 9.541, 164.089, 25.123, 0.098885, 3.8975, 248.6, 0.009801, 0.0864, 7.6
(8507) 1991 CB1, 1.687, 0.594, 14.585, 317.404, 345.778, 0.220247, 0.6609, 117.6, 0.000527, 0.0024, 8.4
(8566) 1996 EN, 1.506, 0.430, 37.974, 164.109, 125.142, 0.021702, -0.3569, 205.3, 0.000358, 0.0177, 4.3
(8567) 1996 HW1, 2.045, 0.449, 8.450, 177.100, 177.295, 0.114940, 0.8400, 4.6, 0.007351, 0.0621, 7.5
(8709) Kadlu, 2.525, 0.493, 3.532, 118.950, 153.887, 0.210277, -11.2890, 7.2, 0.068224, 0.3563, 7.8
(9058) 1992 JB, 1.557, 0.360, 16.086, 218.299, 307.062, 0.084683, -0.4303, 323.8, 0.000692, 0.0083, 6.3
(9162) Kwiila, 1.497, 0.596, 9.011, 179.991, 235.831, 0.080830, -0.8490, 277.9, 0.000271, 0.0035, 6.4
(9172) Abhramu, 2.709, 0.553, 7.842, 287.574, 74.174, 0.254719, -0.5005, --, 0.018546, 0.0742, 8.6
(9202) 1993 PB, 1.424, 0.608, 40.800, 315.890, 212.359, 0.373303, 0.7594, 162.9, 0.000498, 0.0013, 8.4
(9400) 1994 TW1, 2.588, 0.581, 35.995, 3.359, 62.147, 0.287493, -2.0813, 35.7, 0.008245, 0.0297, 8.6
(9856) 1991 EE, 2.243, 0.626, 9.829, 168.107, 116.179, 0.020990, -1.2154, 68.4, 0.003883, 0.2192, 3.5
(9950) ESA, 2.438, 0.533, 14.596, 253.452, 103.604, 0.280415, -0.3298, --, 0.011688, 0.0418, 8.6
(10115) 1992 SK, 1.249, 0.325, 15.319, 8.886, 233.698, 0.045665, -0.5117, 137.0, 0.000279, 0.0064, 5.3
(10145) 1994 CK1, 1.900, 0.632, 4.545, 328.373, 27.462, 0.062516, -0.9183, 261.3, 0.000398, 0.0068, 6.4
(10150) 1994 PN, 2.375, 0.544, 45.958, 112.966, 234.029, 0.227184, -3.7919, 333.2, 0.004572, 0.0218, 7.6
(10165) 1995 BL2, 1.235, 0.504, 23.897, 312.417, 348.464, 0.375913, 0.3225, 146.2, 0.000221, 0.0006, 8.3
(10302) 1989 ML, 1.273, 0.137, 4.379, 104.275, 183.646, 0.082022, 0.0016, 357.9, 0.000229, 0.0028, 6.0
(10563) Izhdubar, 1.007, 0.266, 63.467, 56.558, 132.195, 0.144906, -0.2075, 17.3, 0.000548, 0.0038, 7.2
(10636) 1998 QK56, 1.884, 0.513, 13.576, 172.927, 286.315, 0.110421, -1.3255, 301.5, 0.000986, 0.0094, 6.5
(10860) 1995 LE, 2.578, 0.574, 4.148, 257.193, 75.539, 0.100801, 1.0111, --, 0.019181, 0.1865, 6.6
(11054) 1991 FA, 1.979, 0.447, 3.078, 339.051, 92.349, 0.122407, 0.1177, 28.6, 0.002352, 0.0192, 7.3
(11066) Sigurd, 1.392, 0.375, 36.879, 349.222, 22.027, 0.118413, 0.2934, 188.3, 0.000279, 0.0023, 7.3
(11284) Belenus, 1.740, 0.337, 1.992, 311.705, 171.142, 0.168500, 0.0600, 1.8, 0.001215, 0.0072, 7.2
(11311) Peleus, 2.117, 0.536, 25.494, 59.318, 313.443, 0.097274, 0.2304, 326.5, 0.003051, 0.0310, 6.4
(11398) 1998 YP11, 1.721, 0.389, 15.020, 144.739, 74.762, 0.202936, 0.8012, 52.2, 0.000989, 0.0048, 8.4
(11405) 1999 CV3, 1.460, 0.394, 22.860, 141.238, 96.409, 0.118120, -0.8662, 46.2, 0.000428, 0.0037, 7.4
(11500) Tomaiyowit, 1.080, 0.356, 10.311, 234.387, 289.521, 0.034443, 0.4507, 294.1, 0.000226, 0.0062, 5.3
(11885) Summanus, 1.703, 0.474, 19.430, 359.777, 116.202, 0.067039, -0.7569, 44.6, 0.000881, 0.0138, 6.4
(12538) 1998 OH, 1.542, 0.406, 24.535, 220.693, 321.791, 0.028760, 0.0215, 156.7, 0.000661, 0.0228, 5.1
(12711) Tukmit, 1.186, 0.272, 38.490, 294.963, 322.880, 0.111151, -0.1515, 168.2, 0.000168, 0.0015, 7.2
(12923) Zephyr, 1.963, 0.492, 5.304, 168.156, 147.146, 0.021120, -0.5627, 57.7, 0.001399, 0.0762, 4.4
(13553) Masaakikoyama, 2.189, 0.464, 5.876, 193.462, 109.948, 0.190893, -0.2480, 35.6, 0.003043, 0.0160, 7.4
(13651) 1997 BR, 1.335, 0.306, 17.251, 116.634, 133.859, 0.014387, 0.4202, 212.4, 0.000312, 0.0193, 4.3
(14402) 1991 DB, 1.715, 0.402, 11.410, 158.140, 51.545, 0.102834, 0.5893, 46.1, 0.001065, 0.0101, 7.4
(14827) Hypnos, 2.842, 0.665, 1.979, 57.927, 238.201, 0.017220, 0.2572, 276.7, 0.007850, 0.3961, 3.5
(15745) Yuliya, 1.720, 0.255, 14.429, 132.576, 140.654, 0.296037, -0.2396, 21.7, 0.000718, 0.0024, 8.3
(15817) Lucianotesi, 1.324, 0.118, 13.872, 162.472, 94.286, 0.248319, -0.3788, 31.6, 0.000302, 0.0012, 8.3
(16064) Davidharvey, 2.850, 0.589, 4.539, 335.547, 104.760, 0.241125, 1.8884, --, 0.038785, 0.1569, 8.8
(16636) 1993 QP, 2.310, 0.468, 7.207, 296.771, 47.388, 0.235972, -0.0132, 24.0, 0.005109, 0.0216, 8.4
(16657) 1993 UB, 2.277, 0.461, 24.946, 31.191, 21.303, 0.252082, -0.9672, 12.4, 0.004457, 0.0179, 8.5
(16816) 1997 UF9, 1.442, 0.604, 25.921, 37.143, 158.007, 0.614453, -96.2094, --, 0.448263, 1.1517, 8.4
(16834) 1997 WU22, 1.468, 0.442, 15.997, 260.757, 334.404, 0.145781, 0.4573, 142.1, 0.000477, 0.0032, 7.3
(16912) Rhiannon, 1.751, 0.273, 24.519, 169.169, 221.259, 0.321294, 0.0451, 341.7, 0.000617, 0.0019, 8.1
(16960) 1998 QS52, 2.201, 0.859, 17.516, 260.154, 243.253, 0.020096, 11.0651, 104.0, 0.005373, 0.0785, 4.8
(17181) 1999 UM3, 2.370, 0.674, 10.653, 113.561, 36.775, 0.067071, -3.7159, --, 0.009414, 0.1773, 5.6
(17182) 1999 VU, 1.387, 0.553, 9.265, 333.479, 203.223, 0.143687, -0.5200, 269.8, 0.000151, 0.0011, 7.3
(17188) 1999 WC2, 2.216, 0.637, 29.454, 269.762, 287.250, 0.062466, -0.9132, 313.7, 0.002809, 0.0473, 6.5
(17274) 2000 LC16, 2.731, 0.554, 5.572, 305.700, 21.345, 0.196305, -0.3412, --, 0.019138, 0.0980, 7.6
(17511) 1992 QN, 1.190, 0.359, 9.580, 355.890, 202.442, 0.132342, -0.4298, 116.2, 0.000231, 0.0018, 7.3
(18106) Blume, 2.443, 0.512, 4.221, 109.168, 234.958, 0.208814, 0.5948, 339.6, 0.021980, 0.1038, 7.6
(18109) 2000 NG11, 1.881, 0.368, 0.808, 59.539, 319.262, 0.190860, 0.0154, 356.5, 0.001223, 0.0064, 7.2
(18172) 2000 QL7, 2.425, 0.511, 17.827, 338.446, 100.723, 0.372430, -0.9876, 53.7, 0.011304, 0.0306, 8.6
(18736) 1998 NU, 2.349, 0.491, 2.806, 297.427, 222.913, 0.213268, 0.4047, 348.7, 0.012826, 0.0590, 8.5
(18882) 1999 YN4, 1.685, 0.232, 36.814, 291.666, 242.682, 0.431162, -0.3631, 338.1, 0.000516, 0.0012, 9.3
(19356) 1997 GH3, 2.512, 0.558, 3.013, 186.475, 334.128, 0.176719, -11.1207, --, 0.054954, 0.5125, 5.8
