Name, a (au), e, i (deg), O (deg), w (deg), d0 (au), k (Re/yr), phi0 (deg), epsilon (au), eta, MEI
2023 FK5, 2.377, 0.595, 7.748, 15.390, 117.802, 0.068748, -0.9439, --, 0.008697, 0.1339, 6.5
2023 FN5, 1.677, 0.469, 39.115, 183.129, 300.965, 0.050142, 0.7470, 333.2, 0.000705, 0.0132, 6.4
2023 FO5, 1.273, 0.186, 26.979, 11.199, 215.764, 0.067151, 0.1339, 346.3, 0.000243, 0.0036, 6.2
2023 FP5, 2.575, 0.653, 3.386, 1.488, 244.942, 0.029296, -0.5253, 278.5, 0.014332, 0.5914, 3.6
2023 FR5, 0.877, 0.348, 27.374, 9.281, 13.805, 0.158110, -0.1321, 23.5, 0.000488, 0.0031, 7.2
2023 FS5, 2.477, 0.943, 21.814, 176.963, 220.384, 0.002992, 13.1378, 99.9, 0.014962, 0.2383, 2.8
2023 FT5, 1.334, 0.198, 26.347, 187.941, 326.353, 0.100558, 0.0086, 349.5, 0.000304, 0.0030, 7.0
2023 FB6, 2.073, 0.478, 5.351, 352.495, 222.674, 0.106931, -1.9431, --, 0.008423, 0.0895, 6.6
2023 FC6, 1.603, 0.406, 14.298, 55.003, 195.680, 0.045054, -0.2988, 156.1, 0.000605, 0.0138, 5.3
2023 FD6, 2.027, 0.394, 1.420, 246.634, 298.525, 0.233581, 0.5714, 353.6, 0.007681, 0.0325, 8.5
2023 FE6, 1.269, 0.056, 18.844, 190.943, 47.248, 0.216642, 0.1624, 10.4, 0.000216, 0.0010, 8.2
2023 FF6, 1.087, 0.414, 6.015, 179.586, 124.240, 0.035370, 0.5012, 79.9, 0.000253, 0.0067, 5.3
2023 FL6, 2.161, 0.458, 7.035, 126.155, 53.395, 0.204741, 0.2078, 31.8, 0.004667, 0.0227, 8.4
2023 FM6, 1.834, 0.399, 33.023, 155.500, 93.315, 0.384756, -0.6647, 42.8, 0.000826, 0.0022, 8.4
2023 FN6, 2.130, 0.673, 5.909, 184.432, 284.518, 0.000452, 2.7324, 100.8, 0.002420, 0.2089, 0.6
2023 FO6, 1.638, 0.288, 0.551, 49.823, 138.602, 0.167865, -0.0035, 2.3, 0.000815, 0.0049, 7.2
2023 FR6, 1.594, 0.481, 7.831, 184.501, 294.668, 0.008193, -0.7973, 291.9, 0.000509, 0.1068, 0.4
2023 FS6, 2.718, 0.623, 2.195, 256.684, 261.897, 0.055848, -2.0352, --, 0.052520, 0.9253, 4.7
2023 FT6, 2.805, 0.607, 5.348, 208.867, 327.571, 0.179327, -9.2222, --, 0.064874, 0.4547, 6.8
2023 FU6, 1.925, 0.510, 3.685, 17.062, 212.582, 0.001536, -0.5063, 106.7, 0.000872, 0.3430, 0.3
2023 FY6, 1.997, 0.724, 1.599, 304.758, 340.900, 0.025607, 0.2349, 269.4, 0.000172, 0.0064, 5.2
2023 FA7, 2.314, 0.772, 5.431, 185.596, 102.084, 0.011387, 5.9460, 84.3, 0.004725, 0.1312, 3.7
2023 FB7, 2.690, 0.535, 6.698, 141.114, 57.643, 0.288245, 1.9694, 26.2, 0.055675, 0.1893, 8.8
2023 FC7, 2.465, 0.648, 9.785, 20.137, 83.582, 0.110731, 7.2341, --, 0.032215, 0.2462, 6.7
2023 FD7, 2.573, 0.522, 12.724, 10.517, 253.153, 0.330244, -0.6066, --, 0.019979, 0.0616, 8.6
2023 FE7, 2.135, 0.576, 3.633, 119.247, 122.140, 0.014196, -1.0000, 79.0, 0.001884, 0.1974, 2.4
2023 FF7, 1.717, 0.438, 12.379, 7.705, 217.807, 0.022760, 0.6350, 316.9, 0.001193, 0.0465, 4.4
2023 FG7, 2.069, 0.543, 5.537, 185.087, 326.955, 0.004832, -4.5250, 298.0, 0.002941, 0.1550, 0.6
2023 FH7, 2.139, 0.541, 1.956, 191.260, 17.124, 0.001595, -0.2034, 255.0, 0.001967, 0.9336, 0.3
2023 FJ7, 1.558, 0.466, 0.862, 43.797, 77.374, 0.004573, 0.0718, 87.7, 0.000047, 0.0096, 2.0
2023 FK7, 2.019, 0.538, 5.504, 174.669, 327.523, 0.005739, 0.8452, 116.4, 0.002940, 0.3282, 2.5
2023 FL7, 2.470, 0.593, 2.238, 98.510, 74.665, 0.012612, 13.6931, --, 0.026489, 0.3217, 5.8
2023 FM7, 1.684, 0.355, 3.854, 141.954, 92.212, 0.102526, -0.0723, 45.0, 0.000781, 0.0076, 7.2
2023 FN7, 1.699, 0.390, 2.503, 209.288, 312.526, 0.053342, -0.0702, 326.7, 0.001031, 0.0195, 6.2
2023 FO7, 1.451, 0.432, 8.044, 202.581, 245.838, 0.002178, 0.6168, 293.8, 0.000500, 0.1014, 1.4
2023 FP7, 1.783, 0.453, 8.207, 10.509, 148.851, 0.013273, 0.3593, 43.1, 0.002248, 0.1440, 4.3
2023 FQ7, 1.994, 0.488, 8.931, 186.338, 23.609, 0.041173, 0.4284, 35.4, 0.003742, 0.0860, 5.4
2023 FT7, 2.429, 0.544, 1.550, 251.317, 309.806, 0.125854, 0.1018, 348.1, 0.033250, 0.2515, 7.7
2023 FR10, 1.777, 0.302, 6.342, 173.815, 6.533, 0.244131, -0.6621, 4.5, 0.001219, 0.0050, 8.4
2023 FS10, 1.234, 0.250, 7.154, 25.238, 228.744, 0.006056, -0.4632, 124.2, 0.000277, 0.0658, 1.3
2023 FT10, 0.946, 0.220, 10.079, 2.796, 58.869, 0.014160, -0.8324, 49.5, 0.001866, 0.1812, 3.4
2023 FV10, 1.044, 0.048, 24.111, 185.924, 90.283, 0.038931, -0.2850, 9.0, 0.001001, 0.0267, 5.3
2023 FW10, 0.875, 0.261, 8.544, 181.407, 226.733, 0.001899, 0.3871, 125.0, 0.000442, 0.1263, 1.3
2023 FX10, 2.092, 0.575, 8.741, 180.752, 292.524, 0.054175, -1.9332, 292.9, 0.006531, 0.1384, 5.5
2023 FY10, 1.984, 0.694, 3.906, 306.204, 336.238, 0.060901, 0.6322, 95.9, 0.000690, 0.0108, 6.4
